source,target
"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","that war done well, because, behold, on the other hand, he was a frank and mighty knight in arms, of great measure, but was not full of great understanding."
"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","cruel, and of all the wrongs sold, as the law says, and to no knight pardon that errs."
"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Not of any strength of mind was ornamented Aufidian ponce, Roman knight."
"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","If this pleases everyone and if 'time needs to have pumpkin for knight and not for companion, I will no longer feel the fates."
"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","of this art it seems that it is to say purposely to make people believe, the end is to make people believe in saying it."
Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"Behold, there are great windstorms, and the fogs, and thou mayest believe that all the heavens fell into the sea."
"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","But now those who would hope for what these who do not yet want to believe in Christ, already live with us, and because they can not deny, shatter necks teeth."
I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,"the vengeance of the dead, and the assurance of the living made the deceit of a fierce king."
"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","so that he, who is now fierce and honorable for his great deeds, is afflicted and tormented by all the evils of his use to my father."
Gli uomini spessamente a stare fermi nella bugia incontra la verità.,men often to stand still in the lie meets the truth.
"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio who was of the ten companions, studiedly reserved himself to speak at the last."
cose ch'io sapeva che erano fatte in Italia.,things that I knew were made in Italy.
Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,Corbius niece of hydrangeus brought his life lower and more vicious
"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","another lover calling Merzé to his woman says many words and reasons, and she defends herself in her saying."
"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","I remember (ch. 347) that being angry I walked over my woman. oh, how many of this anger took me away!"
colui del quale tu tti solevi dolere ch' era amante della tua donna;,He of whom thou wast sore that he was lover of thy woman;
"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","But they do not know the names of those of the conspiracy, for the woman did not mention the names."
"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","Of course, when he moved, he said to you, ""O my faithful woman, let our Trojan host be in my place."""
"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","in Milan was repressed the wickedness of a woman in such a lie, at the same time as this lord of the republic, in this way:"
"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.","and lamented the iniquity of the beginning, and lamented the ill-adventured beauty of the chick, and the need of the father."
"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","in which battle, of course, I always dared to reason for peace and always doweled me that not only peace was disgusted,"
"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","the second soles sometimes for the great provenzia to be fearful, and the first for daring to make others mad."
Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,"And he went into the camp of the Carthaginians, and all the legion drew with it."
"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.","He did not want to cognize him as an enemy. This is the one, who gave the prophecy born to resume with great authority that king, who had sinned."
"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","And the weapons, and with them they passed among the enemy, for if any man had not dared of this, and they had such a spirit."
Unde ragionevolemente Iob è interpretato dolente;,Unde reasonablely Iob is interpreted painfully;
"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.","that which above all others forgave the citizens, and which you can most surely believe; then that he was your ruler."
"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","in vain one wonders who this book wrote, which is what one must faithfully believe that the author of that was the holy spirit."
"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","If it were not used very much, this certainly seems much more incredible: certainly more easily you can believe that, place than the human spirit to the divine, and the changeable to the incommutable"
che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,who took the pay from the Camarlingo for their dispensation and immanent went to the presence of Messer the pope to contradict the passage of the knights who come from Cecilia to Tuscany
"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","And he looked upon Achelaus with great wonder, and said, O messer Achelaus, I beseech thee that ye say unto me how ye lose."
"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono","I hope that I will send to you a strong fear, that I may be of a good mind."
sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,Without fouling the saving pig advances the man to hear and 'the cervier wolf of seeing
uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,And a place shall be sent to throw themselves; and the horsemen shall call it a pig's head.
tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,"He tends the harlots to the deer, and knows what valley the furious pig dwells in."
"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.","Now you're gonna scare them off with various and different fears, or the pig singing shit in the past spitneck earth."
"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.","It deals with the nature of the things incorporated which do not converse within the body, as god and divine things."
"Dio, per la quale si dispensano et iudicano tutte le cose.","God, for whom they dispense and judge all things."
