source,target
Io fui per lungo tempo sanza vedere li belli occhi vostri.,Sono stato per molto tempo senza vedere i vostri begli occhi.
Non era l’impresa da pigliarsi a gabbo.,Non era un'impresa da prendere alla leggera.
Però che più non si muova la penna.,Perché la penna non si muova più.
E’ mi par che ‘l tempo si rincorra.,E mi sembra che il tempo corra veloce.
Veggio l’onore che non perde mai.,Vedo l'onore che non svanisce mai.
A ciò che l’animo mio s’acqueti.,Affinché il mio animo trovi pace.
Or sì che tu se’ quel Virgilio e quella fonte.,Allora tu sei proprio Virgilio e quella fonte di saggezza.
Li occhi porta la mia donna sovra lor gloria.,La mia donna porta negli occhi la loro gloria.
Deh peregrini che pensosi andate.,Oh pellegrini che camminate pensierosi.
L’alma s’affligge e non trova conforto.,L’anima si affligge e non trova consolazione.
Io fui per lungo tempo sanza vedere li belli occhi vostri.,Sono stato per molto tempo senza vedere i vostri begli occhi.
Non era l’impresa da pigliarsi a gabbo.,Non era un'impresa da prendere alla leggera.
Però che più non si muova la penna.,Perché la penna non si muova più.
E’ mi par che ‘l tempo si rincorra.,E mi sembra che il tempo corra veloce.
Veggio l’onore che non perde mai.,Vedo l'onore che non svanisce mai.
A ciò che l’animo mio s’acqueti.,Affinché il mio animo trovi pace.
Or sì che tu se’ quel Virgilio e quella fonte.,Allora tu sei proprio Virgilio e quella fonte di saggezza.
Li occhi porta la mia donna sovra lor gloria.,La mia donna porta negli occhi la loro gloria.
Deh peregrini che pensosi andate.,Oh pellegrini che camminate pensierosi.
L’alma s’affligge e non trova conforto.,L’anima si affligge e non trova consolazione.
Io fui per lungo tempo sanza vedere li belli occhi vostri.,Sono stato per molto tempo senza vedere i vostri begli occhi.
Non era l’impresa da pigliarsi a gabbo.,Non era un'impresa da prendere alla leggera.
Però che più non si muova la penna.,Perché la penna non si muova più.
E’ mi par che ‘l tempo si rincorra.,E mi sembra che il tempo corra veloce.
Veggio l’onore che non perde mai.,Vedo l'onore che non svanisce mai.
A ciò che l’animo mio s’acqueti.,Affinché il mio animo trovi pace.
Or sì che tu se’ quel Virgilio e quella fonte.,Allora tu sei proprio Virgilio e quella fonte di saggezza.
