;source_sentences;gold_sentences;predicted_sentences;prometheus_score;GPT_score;user_score
0;Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.;E se l’occhio è una parte nobile del corpo umano, allora il saluto è una parte nobile della lettera, che illumina l’intero testo come l’occhio illumina l’uomo.;E se l'occhio è un nobile membro del corpo dell'uomo, allora il saluto è una parte nobile della pistola, c'è anche alluminio tutta la lettera come l'occhio di alluminio l'uomo.;2;1;1
1;Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.;I Tarantini, nati dai lacedemoni, avevano fondato la loro nobile città greca.;Tarentini, che sono nati da quelli di Lacedemonia et facta dalla loro nobile cittadella dei Greci.;4;3;2
2;Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.;Ulecois ebbe un uomo ricco e nobile: si chiamava Orgentore.;Ulecois, ebe un uomo ric e nobile: orgent è stato chiamato per nome.;1;2;1
3;però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia;Perché se è una cosa alta e nobile abbattere il nemico, è altrettanto lodevole saper mostrare misericordia.;ma che, è alto e alto, il nimic è abate, ampoi nonn è meno lodevole sapere di avere miserice;3;2;1
4;Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.;Alessandro, cioè suo genero e figlio, fu ucciso in un luogo stretto e privo di difese mentre stava con Pausonia, giovane nobile di Macedonia.;Alexandri, questo è il genero e il genero, da Phausonia, Gentile giovane di Macedonia, in piedi in un luogo miserabile senza una guardia, era morto.;2;2;2
5;Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.;C’è chi è ricco e nobile, ma si lamenta di voler un’altra moglie al posto di quella che ha.;Alchuno è ricco e gentile, ma mi sono lamentato che mi piacerebbe avere un'altra moglie rispetto a quella che è.;2;3;3
6;Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia;A Pietro, mostrata in figura la gente pagana, fu detto: “Uccidi e mangia.”;"Pietro, mostrandogli la figura del popolo Gentile, gli fu detto: ""Uccidi e mangia.""";2;3;3
7;pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.;Gli chiese di essere liberato da quell’obbligo che gli era stato imposto. Il nobile uomo acconsentì, lo liberò, e ne redasse un documento.;Ti prego di liberarlo da quel legame, nel quale egli lo aveva lasciato legato. L'uomo misericordioso ha perdonato, liberato e ne ha fatto straccio.;4;4;4
8;L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia;L’oro verrà dal Settentrione. Cosa rappresenta il Settentrione se non il popolo pagano, congelato dal freddo del peccato, che fu tenuto sotto il giogo della sua tirannia?;L'oro verrà dall'aquilone, che noi amiamo per l'aquilone, ma il populus Gentile si è congelato dal freddo del peccato, che populus ha tenuto sotto il giogo della sua tirannia.;3;2;2
9;sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.;Sia in mezzo tra me e te: con noi non puoi più rimanere a lungo, perché io non lo permetterò e non lo tollererò oltre.;"Sii in mezzo a me e a te; con noi non puoi rimanere così a lungo, che io non l'ho rattristato e non lo lascerò.";3;3;2
