source_sentences;gold_sentences;predicted_sentences;prometheus_score;GPT_score;user_score
Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.;E se l’occhio è una parte nobile del corpo umano, allora il saluto è una parte nobile della lettera, che illumina l’intero testo come l’occhio illumina l’uomo.;Se l'occhio è un membro nobile del corpo dell'uomo, allora la salute è una parte nobile della lettera, e l'altre parte la illumina come l'occhio stesso illumina l'uomo.;4;4;5
Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.;I Tarantini, nati dai lacedemoni, avevano fondato la loro nobile città greca.;I Tessori, i quali erano nati da quelli che erano nati da Lacedemia e da un corvo nobile, città greche.;1;1;1
Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.;Ulecois ebbe un uomo ricco e nobile: si chiamava Orgentore.;Ugo era un uomo ricco e nobile, Orgentore fu chiamato per nome.;4;4;4
però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia;Perché se è una cosa alta e nobile abbattere il nemico, è altrettanto lodevole saper mostrare misericordia.;Ma il nemico è potente, e la conoscenza di avere un senso di misura è importante.;3;2;1
Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.;Alessandro, cioè suo genero e figlio, fu ucciso in un luogo stretto e privo di difese mentre stava con Pausonia, giovane nobile di Macedonia.;Alexandrio, figlio e nipote del genero Phausonia, di origini macedoni, che viveva in un luogo stretto e inosservato, è morto.;1;3;5
Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.;C’è chi è ricco e nobile, ma si lamenta di voler un’altra moglie al posto di quella che ha.;Qualcuno è ricco e gentile, ma lamenta di voler avere un'altra moglie rispetto a quella che già possiede.;3;5;4
Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia;A Pietro, mostrata in figura la gente pagana, fu detto: “Uccidi e mangia.”;Muoviti.;1;1;1
pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.;Gli chiese di essere liberato da quell’obbligo che gli era stato imposto. Il nobile uomo acconsentì, lo liberò, e ne redasse un documento.;Che lo liberasse da quella obbligazione, in cui egli l' aveva lasciato ubbligato. Il gentile uomo si rifiutò, e lo liberò, e lo fece carta.;3;2;2
L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia;L’oro verrà dal Settentrione. Cosa rappresenta il Settentrione se non il popolo pagano, congelato dal freddo del peccato, che fu tenuto sotto il giogo della sua tirannia?;L'oro sarà ottenuto dall'Aquilone. Siamo in una situazione in cui non possiamo competere con il popolo Gentile, che è stato congelato dal freddo del peccato, e questo popolo era sotto il giogo della sua tirannia.;4;3;3
sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.;Sia in mezzo tra me e te: con noi non puoi più rimanere a lungo, perché io non lo permetterò e non lo tollererò oltre.;Tra me e te: non puoi più stare a lungo con noi. Non lo sopporterò e non lo lascerò.;5;4;5
