source_sentences;gold_sentences;predicted_sentences;prometheus_score;GPT_score;user_score
Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.;E se l’occhio è una parte nobile del corpo umano, allora il saluto è una parte nobile della lettera, che illumina l’intero testo come l’occhio illumina l’uomo.;Se l'occhio di un uomo è nobile, allora la sua salutazione è un segno di grande valore.;3;0;0
Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.;I Tarantini, nati dai lacedemoni, avevano fondato la loro nobile città greca.;Tarentini, i quali provenivano da Lacedemia e da un'impresa di un nobile cittadino greco, sono stati creati.;4;0;0
Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.;Ulecois ebbe un uomo ricco e nobile: si chiamava Orgentore.;Ulecois era un uomo ricco e rispettato: venne chiamato Orgentore.;4;0;0
però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia;Perché se è una cosa alta e nobile abbattere il nemico, è altrettanto lodevole saper mostrare misericordia.;Il nemico è potente, e la sua abilità è grande, ma la sua prudenza non è meno degna di nota.;1;0;0
Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.;Alessandro, cioè suo genero e figlio, fu ucciso in un luogo stretto e privo di difese mentre stava con Pausonia, giovane nobile di Macedonia.;Alexandri, il suo genero e figlio, originario di Phausonia, un uomo gentile ma solitario, è morto in un luogo isolato.;4;0;0
Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.;C’è chi è ricco e nobile, ma si lamenta di voler un’altra moglie al posto di quella che ha.;Qualcuno è ricco e premuroso, ma si lamenta di non avere un'altra moglie rispetto a quella che ha già.;4;0;0
Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia;A Pietro, mostrata in figura la gente pagana, fu detto: “Uccidi e mangia.”;Pietro, dopo essere stato mostrato nella figura dei Gentili, gli fu ordinato di uccidere e mangiare.;3;0;0
pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.;Gli chiese di essere liberato da quell’obbligo che gli era stato imposto. Il nobile uomo acconsentì, lo liberò, e ne redasse un documento.;Non volevo che si sentisse ancora legato a quella responsabilità, e lui aveva lasciato che mi fosse concesso liberarla, e mi ha dato una carta.;1;0;0
L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia;L’oro verrà dal Settentrione. Cosa rappresenta il Settentrione se non il popolo pagano, congelato dal freddo del peccato, che fu tenuto sotto il giogo della sua tirannia?;L'oro provenirà dall'aquilone. Cosa possiamo dire di noi per l'aquilone, se non il popolo che è stato congelato dal peccato, il quale popolo fu imprigionato sotto il giogo della sua tirannia?;2;0;0
sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.;Sia in mezzo tra me e te: con noi non puoi più rimanere a lungo, perché io non lo permetterò e non lo tollererò oltre.;Non c'è spazio tra noi, non possiamo più stare qui. Non lo sopporto e non lo lascerò.;2;0;0
