Author;Date;Region;Sentence;Traductions
Brunetto Latini;1260-61;fior.;quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno;Quella guerra fu ben condotta per via delle opere (compiute), eccetera. Dall’altra parte, Aiace era un cavaliere leale e valoroso in battaglia, di grande forza, ma non era dotato di grande saggezza
Bono Giamboni;1292;fior.;crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.;Crudele, e punisce ogni mancanza, secondo quanto dice la legge, e non perdona nessun cavaliere che abbia peccato.
Valerio Massimo (red. V1;1336;fior.;Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.;Ponzio Aufidiano, cavaliere romano, non fu caratterizzato da altra forza d’animo.
Lucano volg. (ed. Marinoni);1330/40;prat.;Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.;Se questo piace a tutti e se il tempo ha bisogno di avere Pompeo come condottiero e non come compagno, non mi opporrò più al destino.
Brunetto Latini;1260-61;fior.;Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.;"Lo scopo di questa arte sembra essere quello di parlare intenzionalmente per persuadere; il fine è far credere mediante il discorso."
Simintendi;1333;tosc.;"Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare";"Ecco, forti venti e pioggia cadono tra fitte nebbie; potresti credere che tutto il cielo stia cadendo nel mare."
Agostino da Scarperia (?);1390;tosc.;Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.;Chi potrebbe ancora sperare in ciò che persino quelli che non vogliono credere in Cristo ormai vedono con noi? E, non potendo più negarlo, stridono i denti.
Bono Giamboni;1292;fior.;I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.;I tradimenti dei morti e le pressioni dei vivi furono opera della frode di un re crudele.
Bart. da San Concordio;1313;tosc.;Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.;Affinché colui che ora, a causa delle sue gravi colpe, è temuto e rispettato, venga afflitto e tormentato da ogni male per il suo comportamento verso mio padre.
Brunetto Latini;1260-61;fior.;Gli uomini spessamente a stare fermi nella bugia incontra la verità.;Gli uomini spesso, per restare fermi nella menzogna, si oppongono alla verità.
Filippo da Santa Croce;1323;tosc.;Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.;Marco Cornelio, che era uno dei dieci compagni, si riservò con attenzione di parlare per ultimo.
Cavalca;1330;tosc.;cose ch'io sapeva che erano fatte in Italia.;Cose che sapevo essere accadute in Italia.
Valerio Massimo (red. V1;1336;fior.;Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa;Corbio, nipote di Ortensio, visse una vita più misera e viziosa.
